,postal_code,city_name,longitude,latitude,lowercase,nis_code
0,1060,Saint-Gilles,4.345668,50.8267409,saintgilles,21013
1,1080,Molenbeek-Saint-Jean,4.3227779,50.8543551,molenbeeksaintjean,21012
2,1083,Ganshoren,4.3175103,50.8712396,ganshoren,21008
3,1120,Neder-Over-Heembeek,4.3904888684211,50.89779605,nederoverheembeek,21004
4,1300,Wavre,4.607744,50.7164189,wavre,25112
5,1301,Bierges,4.5894025,50.7111796,bierges,25112
6,1320,L'ecluse,4.8320079,50.7717493,l'ecluse,25005
7,1340,Ottignies,4.5690502,50.666357,ottignies,25121
8,1348,Louvain-La-Neuve,4.6141567317211,50.6741689,louvainlaneuve,25121
9,1350,Orp-Le-Grand,4.9912852,50.7034875,orplegrand,25120
10,1357,Hélécine,4.9822395,50.7514034,helecine,25118
11,1357,Linsmeau,5.0030144,50.7322517,linsmeau,25118
12,1367,Autre-Eglise,4.9249295,50.6631583,autreeglise,25122
13,1390,Grez-Doiceau,4.6962324,50.7386182,grezdoiceau,25037
14,1420,Braine-L'alleud,4.3548145440335,50.6940942,brainel'alleud,25014
15,1440,Wauthier-Braine,4.3133036337455,50.68083185,wauthierbraine,25015
16,1450,Saint-Géry,4.6202848419069,50.57660545,saintgery,25117
17,1457,Nil-Saint-Vincent-Saint-Martin,4.6743285,50.6407147,nilsaintvincentsaintmartin,25124
18,1457,Walhain,4.6952724,50.6182838,walhain,25124
19,1457,Walhain-Saint-Paul,4.6952241,50.6167794,walhainsaintpaul,25124
20,1460,Ittre,4.2611675641255,50.6463367,ittre,25044
21,1471,Loupoigne,4.4319644959116,50.5929226,loupoigne,25031
22,1480,Tubize,4.204696,50.69302,tubize,25105
23,1570,Galmaarden,3.9709983,50.7527192,galmaarden,23023
24,1601,Ruisbroek,4.298610469732,50.7848617,ruisbroek,23077
25,1652,Alsemberg,4.3281703413079,50.7449476,alsemberg,23003
26,1673,Beert,4.1853449364222,50.7354888,beert,23064
27,1730,Asse,4.1804375072845,50.913594,asse,23002
28,1730,Kobbegem,4.2496669,50.9091629,kobbegem,23002
29,1731,Zellik,4.2744185,50.8842475,zellik,23002
30,1750,Sint-Kwintens-Lennik,4.1456163063499,50.81145495,sintkwintenslennik,23104
31,1755,Kester,4.1212845,50.7631284,kester,23024
32,1755,Oetingen,4.0614624,50.7720719,oetingen,23024
33,1760,Pamel,4.0820664787057,50.83471975,pamel,23097
34,1760,Strijtem,4.1145703,50.8405541,strijtem,23097
35,1770,Liedekerke,4.0860754,50.8711313,liedekerke,23044
36,1831,Diegem,4.4365042,50.8945555,diegem,23047
37,1860,Meise,4.3287322,50.9341625,meise,23050
38,1880,Nieuwenrode,4.3512293,50.9799835,nieuwenrode,23039
39,1910,Nederokkerzeel,4.5645096,50.9190127,nederokkerzeel,23038
40,1930,Nossegem,4.5081025949464,50.88499735,nossegem,23094
41,1930,Zaventem,4.4745515,50.8804355,zaventem,23094
42,1933,Sterrebeek,4.5157438438279,50.85395875,sterrebeek,23094
43,1982,Elewijt,4.5075638918541,50.96953845,elewijt,23096
44,2000,Antwerpen,4.3997081,51.2211097,antwerpen,11002
45,2050,Antwerpen,4.3997081,51.2211097,antwerpen,11002
46,2180,Ekeren,4.4322870782182,51.2842045,ekeren,11002
47,2200,Herentals,4.83464460985,51.1855514,herentals,13011
48,2242,Pulderbos,4.7033852099385,51.2257319,pulderbos,11054
49,2243,Pulle,4.6975445276147,51.2011609,pulle,11054
50,2275,Gierle,4.8676797,51.26758,gierle,13019
51,2275,Lille,4.8242404,51.238218,lille,13019
52,2322,Minderhout,4.8070790487489,51.43155825,minderhout,13014
53,2330,Merksplas,4.8627541,51.3580597,merksplas,13023
54,2370,Arendonk,5.0864557,51.3202315,arendonk,13001
55,2380,Ravels,5.0198122919518,51.3808625,ravels,13035
56,2430,Vorst,5.0188161,51.0790117,vorst,13053
57,2431,Varendonk,4.9552253,51.0801317,varendonk,13053
58,2450,Meerhout,5.0772388,51.1317433,meerhout,13021
59,2470,Retie,5.0843883,51.2675862,retie,13036
60,2491,Olmen,5.1648214462792,51.13368515,olmen,13003
61,2500,Lier,4.5696516,51.131069,lier,12021
62,2560,Kessel,4.6393456001407,51.14453105,kessel,12026
63,2560,Nijlen,4.6709517317049,51.1611887,nijlen,12026
64,2590,Berlaar,4.6640387634597,51.10303735,berlaar,12002
65,2620,Hemiksem,4.3420555,51.1442105,hemiksem,11018
66,2800,Mechelen,4.471321199996,51.02803335,mechelen,12025
67,2811,Hombeek,4.4211910518318,51.01166405,hombeek,12025
68,2820,Bonheiden,4.5378217779072,51.0261294,bonheiden,12005
69,2820,Rijmenam,4.5842221,51.0010818,rijmenam,12005
70,2830,Blaasveld,4.3723517,51.0565194,blaasveld,12040
71,2830,Heindonk,4.4066584,51.0670264,heindonk,12040
72,2830,Tisselt,4.3598407,51.033992,tisselt,12040
73,2830,Willebroek,4.3572324644033,51.0626964,willebroek,12040
74,2840,Reet,4.4058899586301,51.1044854,reet,11037
75,2850,Boom,4.3667216,51.0873789,boom,11005
76,2861,Onze-Lieve-Vrouw-Waver,4.5799614,51.0624913,onzelievevrouwwaver,12035
77,2870,Breendonk,4.3136108625549,51.0452687,breendonk,12041
78,2920,Kalmthout,4.4763255,51.3832723,kalmthout,11022
79,2940,Hoevenen,4.4046996,51.3066168,hoevenen,11044
80,2970,'s Gravenwezel,4.5556038,51.2624856,'sgravenwezel,11039
81,3010,Kessel Lo,4.7307614946269,50.88991545,kessello,24062
82,3020,Herent,4.672714,50.9079329,herent,24038
83,3040,Neerijse,4.6290291125613,50.81115135,neerijse,24045
84,3070,Kortenberg,4.5364707039624,50.88326665,kortenberg,24055
85,3078,Meerbeek,4.5972692536847,50.8782935,meerbeek,24055
86,3080,Tervuren,4.5144027,50.8227718,tervuren,24104
87,3150,Tildonk,4.6595165776069,50.94081955,tildonk,24033
88,3200,Gelrode,4.8042730440984,50.9670761,gelrode,24001
89,3220,Sint-Pieters-Rode,4.8291872982184,50.9208131,sintpietersrode,24043
90,3300,Bost,4.9339239586832,50.7846322,bost,24107
91,3300,Oorbeek,4.9137602382894,50.79215565,oorbeek,24107
92,3300,Vissenaken,4.9111431209758,50.84379005,vissenaken,24107
93,3350,Linter,5.0409717,50.8291537,linter,24133
94,3350,Melkwezer,5.0585292480567,50.8249402,melkwezer,24133
95,3360,Korbeek-Lo,4.7561775068454,50.86176115,korbeeklo,24011
96,3380,Bunsbeek,4.9601107928553,50.8510351,bunsbeek,24137
97,3384,Attenrode,4.9167554140969,50.8694607,attenrode,24137
98,3391,Meensel-Kiezegem,4.9173431325348,50.8950541,meenselkiezegem,24135
99,3400,Ezemaal,4.997333783131,50.7766242,ezemaal,24059
100,3400,Rumsdorp,5.0695564232804,50.76917005,rumsdorp,24059
101,3440,Helen-Bos,5.0802259143417,50.83603965,helenbos,24130
102,3471,Hoeleden,5.0014628020046,50.8668096,hoeleden,24054
103,3510,Kermt,5.2509784643733,50.9524495,kermt,71022
104,3530,Houthalen-Helchteren,5.3713044,51.0281818,houthalenhelchteren,72039
105,3540,Herk-De-Stad,5.1884301868953,50.9222911,herkdestad,71024
106,3540,Schulen,5.171672949688,50.9533364,schulen,71024
107,3580,Beringen,5.2208090823008,51.0502026,beringen,71004
108,3620,Gellik,5.6091315,50.8839456,gellik,73042
109,3620,Neerharen,5.680982,50.907778,neerharen,73042
110,3630,Mechelen-Aan-De-Maas,5.6456979557208,50.9764002,mechelenaandemaas,73107
111,3631,Boorsem,5.7147232,50.9408858,boorsem,73107
112,3640,Kinrooi,5.7414564606985,51.14313325,kinrooi,72018
113,3670,Ellikom,5.5289463613944,51.1303479,ellikom,72042
114,3670,Neerglabbeek,5.6181697688959,51.09677995,neerglabbeek,72042
115,3690,Zutendaal,5.5725548,50.9318992,zutendaal,71067
116,3700,Lauw,5.4147831,50.7399124,lauw,73083
117,3700,Neerrepen,5.4449386,50.8121319,neerrepen,73083
118,3700,Piringen,5.4198462,50.7873928,piringen,73083
119,3700,Vreren,5.495696,50.7520293,vreren,73083
120,3700,Widooie,5.409701,50.7719092,widooie,73083
121,3717,Herstappe,5.4260923,50.7273829,herstappe,73028
122,3723,Guigoven,5.4005632276197,50.84255235,guigoven,73040
123,3724,Vliermaal,5.4259091735787,50.8326029,vliermaal,73040
124,3730,Werm,5.4804957,50.8335665,werm,73032
125,3740,Grote-Spouwen,5.5538483,50.832524,grotespouwen,73006
126,3770,Membruggen,5.5391564,50.8178133,membruggen,73066
127,3770,Vlijtingen,5.5895873,50.8329146,vlijtingen,73066
128,3790,Fouron-Saint-Martin,5.8429342279842,50.74087835,fouronsaintmartin,73109
129,3790,Fourons,5.839052712207,50.7465898,fourons,73109
130,3792,Fouron-Saint-Pierre,5.8242427123549,50.72830265,fouronsaintpierre,73109
131,3793,Teuven,5.8695304694514,50.75322225,teuven,73109
132,3800,Zepperen,5.2579163290148,50.840318,zepperen,71053
133,3831,Herten,5.3322359627296,50.82704785,herten,73098
134,3840,Broekom,5.3324575,50.7819071,broekom,73009
135,3840,Kolmont,5.4206775,50.8027416,kolmont,73083
136,3840,Kuttekoven,5.3310338354044,50.8140833,kuttekoven,73009
137,3850,Binderveld,5.1684479293466,50.86548295,binderveld,71045
138,3850,Kozen,5.2414389,50.8752909,kozen,71045
